spec	formula	smiles	inchikey	spec_file	precursor_type	collision_energy
spec_000000	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000000.ms	[M+H]+	10.0 eV
spec_000001	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000001.ms	[M+H]+	20.0 eV
spec_000002	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000002.ms	[M+H]+	30.0 eV
spec_000003	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000003.ms	[M+H]+	40.0 eV
spec_000004	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000004.ms	[M+H]+	50.0 eV
spec_000005	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000005.ms	[M+H]+	55.0 eV
spec_000006	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000006.ms	[M+H]+	60.0 eV
spec_000007	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000007.ms	[M+H]+	70.0 eV
spec_000008	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000008.ms	[M+H]+	80.0 eV
spec_000009	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000009.ms	[M+H]+	90.0 eV
spec_000010	C15H13N3O2S	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3	HDDSHPAODJUKPD-UHFFFAOYSA-N	../data/antibio/spec_files/spec_000010.ms	[M+H]+	100.0 eV
