name	split
spec_002244	train
spec_005701	train
spec_002603	train
spec_005425	train
spec_004917	train
spec_005837	train
spec_002035	train
spec_005850	train
spec_001090	train
spec_003654	train
spec_000162	train
spec_002980	train
spec_000532	train
spec_005024	train
spec_000890	train
spec_002767	train
spec_005521	train
spec_004676	train
spec_000085	train
spec_001223	train
spec_005143	train
spec_000500	train
spec_004224	train
spec_002121	train
spec_003604	train
spec_000435	train
spec_005174	train
spec_002598	train
spec_002815	train
spec_002227	train
spec_003317	train
spec_001214	train
spec_003964	train
spec_003497	train
spec_005116	train
spec_003843	train
spec_001587	train
spec_000360	train
spec_005063	train
spec_002834	train
spec_000016	train
spec_001603	train
spec_004779	train
spec_000263	train
spec_003045	train
spec_000851	train
spec_000783	train
spec_002149	train
spec_001376	train
spec_005262	train
spec_000154	train
spec_003909	train
spec_002747	train
spec_001357	train
spec_004619	train
spec_000248	train
spec_001190	train
spec_004291	train
spec_000593	train
spec_001052	train
spec_000868	train
spec_000081	train
spec_001773	train
spec_002696	train
spec_005060	train
spec_004652	train
spec_004199	train
spec_003804	train
spec_001080	train
spec_005091	train
spec_001850	train
spec_004264	train
spec_002871	train
spec_005173	train
spec_005556	train
spec_004860	train
spec_002995	train
spec_000292	train
spec_001601	train
spec_002141	train
spec_000065	train
spec_003925	train
spec_000798	train
spec_001137	train
spec_003910	train
spec_005662	train
spec_002558	train
spec_005577	train
spec_001391	train
spec_002347	train
spec_002809	train
spec_003390	train
spec_001707	train
spec_002413	train
spec_005500	train
spec_000505	train
spec_005700	train
spec_001513	train
spec_004056	train
spec_004252	train
spec_002003	train
spec_005793	train
spec_001312	train
spec_000619	train
spec_003884	train
spec_003673	train
spec_000537	train
spec_002522	train
spec_001293	train
spec_005360	train
spec_001743	train
spec_005537	train
spec_000862	train
spec_000650	train
spec_004435	train
spec_004957	train
spec_002379	train
spec_003309	train
spec_000136	train
spec_002714	train
spec_004246	train
spec_005826	train
spec_001455	train
spec_004203	train
spec_002268	train
spec_001564	train
spec_005276	train
spec_000960	train
spec_002496	train
spec_002382	train
spec_004369	train
spec_004479	train
spec_000703	train
spec_000250	train
spec_005803	train
spec_002412	train
spec_002394	train
spec_000536	train
spec_001700	train
spec_004722	train
spec_005433	train
spec_004206	train
spec_002074	train
spec_002615	train
spec_005026	train
spec_000405	train
spec_002556	train
spec_004217	train
spec_004200	train
spec_002221	train
spec_003612	train
spec_000518	train
spec_001400	train
spec_005282	train
spec_001408	train
spec_002223	train
spec_004218	train
spec_003038	train
spec_003504	train
spec_002076	train
spec_001860	train
spec_001930	train
spec_000140	train
spec_002683	train
spec_001597	train
spec_005298	train
spec_003376	train
spec_002659	train
spec_003310	train
spec_003018	train
spec_002215	train
spec_005858	train
spec_003935	train
spec_004185	train
spec_004284	train
spec_004458	train
spec_003446	train
spec_000589	train
spec_002725	train
spec_005778	train
spec_002246	train
spec_005630	train
spec_002976	train
spec_000776	train
spec_002932	train
spec_004997	train
spec_005192	train
spec_001980	train
spec_001403	train
spec_000587	train
spec_001599	train
spec_002534	train
spec_005200	train
spec_003617	train
spec_004116	train
spec_003229	train
spec_005578	train
spec_001177	train
spec_002319	train
spec_005216	train
spec_004802	train
spec_004036	train
spec_003239	train
spec_005236	train
spec_002400	train
spec_004690	train
spec_001089	train
spec_000123	train
spec_001598	train
spec_002132	train
spec_001922	train
spec_002008	train
spec_004665	train
spec_002607	train
spec_001482	train
spec_002867	train
spec_000020	train
spec_000030	train
spec_002836	train
spec_003541	train
spec_001606	train
spec_000870	train
spec_001431	train
spec_001379	train
spec_001833	train
spec_001919	train
spec_002409	train
spec_005660	train
spec_003987	train
spec_000928	train
spec_004302	train
spec_000061	train
spec_001062	train
spec_004869	train
spec_001098	train
spec_005763	train
spec_003956	train
spec_003180	train
spec_004164	train
spec_001373	train
spec_004525	train
spec_003381	train
spec_005890	train
spec_002021	train
spec_005571	train
spec_003277	train
spec_005790	train
spec_001579	train
spec_000696	train
spec_004601	train
spec_005105	train
spec_004352	train
spec_000238	train
spec_001507	train
spec_002140	train
spec_004755	train
spec_005426	train
spec_000769	train
spec_000829	train
spec_005661	train
spec_001832	train
spec_000682	train
spec_000316	train
spec_002684	train
spec_003926	train
spec_005679	train
spec_004871	train
spec_001179	train
spec_002395	train
spec_004298	train
spec_004891	train
spec_005621	train
spec_005414	train
spec_003072	train
spec_004862	train
spec_003146	train
spec_004794	train
spec_005583	train
spec_005825	train
spec_001760	train
spec_000128	train
spec_003861	train
spec_002873	train
spec_000869	train
spec_002353	train
spec_001239	train
spec_005463	train
spec_004958	train
spec_003213	train
spec_004596	train
spec_002957	train
spec_002472	train
spec_000208	train
spec_002982	train
spec_003971	train
spec_002821	train
spec_004229	train
spec_002355	train
spec_000232	train
spec_003615	train
spec_001612	train
spec_000318	train
spec_005443	train
spec_002900	train
spec_003857	train
spec_002572	train
spec_004335	train
spec_002546	train
spec_003703	train
spec_000035	train
spec_005528	train
spec_005818	train
spec_000779	train
spec_004296	train
spec_004932	train
spec_004065	train
spec_001168	train
spec_004338	train
spec_000431	train
spec_003275	train
spec_001234	train
spec_000939	train
spec_005029	train
spec_003351	train
spec_004817	train
spec_000086	train
spec_001771	train
spec_001381	train
spec_004390	train
spec_003069	train
spec_000442	train
spec_005222	train
spec_001081	train
spec_003103	train
spec_002800	train
spec_003079	train
spec_004182	train
spec_002192	train
spec_002352	train
spec_000327	train
spec_005347	train
spec_005474	train
spec_000758	train
spec_003267	train
spec_005253	train
spec_000478	train
spec_001562	train
spec_004799	train
spec_003337	train
spec_003664	train
spec_002909	train
spec_005070	train
spec_005690	train
spec_000113	train
spec_003587	train
spec_004964	train
spec_005309	train
spec_005215	train
spec_003593	train
spec_001957	train
spec_001344	train
spec_002992	train
spec_005155	train
spec_005392	train
spec_001115	train
spec_000377	train
spec_002010	train
spec_000743	train
spec_000503	train
spec_000451	train
spec_003939	train
spec_003944	train
spec_000173	train
spec_005377	train
spec_003168	train
spec_003818	train
spec_001039	train
spec_000082	train
spec_005483	train
spec_004768	train
spec_002802	train
spec_005304	train
spec_000638	train
spec_000515	train
spec_004855	train
spec_000402	train
spec_001017	train
spec_000176	train
spec_003060	train
spec_003175	train
spec_001367	train
spec_004866	train
spec_000284	train
spec_001466	train
spec_000469	train
spec_001982	train
spec_005168	train
spec_003977	train
spec_002292	train
spec_003077	train
spec_003584	train
spec_005684	train
spec_005435	train
spec_001834	train
spec_003186	train
spec_002233	train
spec_005054	train
spec_005237	train
spec_004641	train
spec_003949	train
spec_000946	train
spec_003848	train
spec_001029	train
spec_003601	train
spec_000836	train
spec_002492	train
spec_000054	train
spec_000725	train
spec_000437	train
spec_001782	train
spec_001819	train
spec_005829	train
spec_002644	train
spec_003356	train
spec_003184	train
spec_004466	train
spec_003860	train
spec_005879	train
spec_002974	train
spec_005459	train
spec_005807	train
spec_004358	train
spec_000380	train
spec_005617	train
spec_001925	train
spec_000096	train
spec_002618	train
spec_001501	train
spec_004470	train
spec_001669	train
spec_001504	train
spec_004935	train
spec_005737	train
spec_005466	train
spec_000392	train
spec_005317	train
spec_003289	train
spec_001512	train
spec_001102	train
spec_002262	train
spec_002018	train
spec_005436	train
spec_003683	train
spec_005182	train
spec_000379	train
spec_001594	train
spec_004979	train
spec_004667	train
spec_002609	train
spec_000393	train
spec_004343	train
spec_003396	train
spec_001396	train
spec_003620	train
spec_002832	train
spec_002708	train
spec_003189	train
spec_005673	train
spec_002673	train
spec_000189	train
spec_003083	train
spec_000507	train
spec_002054	train
spec_003866	train
spec_003985	train
spec_002894	train
spec_002114	train
spec_001131	train
spec_003697	train
spec_002341	train
spec_003500	train
spec_001718	train
spec_002437	train
spec_001324	train
spec_004787	train
spec_000976	train
spec_000060	train
spec_001574	train
spec_005591	train
spec_000272	train
spec_003968	train
spec_000449	train
spec_001461	train
spec_003308	train
spec_005037	train
spec_005881	train
spec_005844	train
spec_000090	train
spec_005292	train
spec_000310	train
spec_000958	train
spec_002653	train
spec_001279	train
spec_002126	train
spec_000728	train
spec_005320	train
spec_005525	train
spec_005484	train
spec_002104	train
spec_004267	train
spec_000722	train
spec_000135	train
spec_003734	train
spec_004718	train
spec_001121	train
spec_003003	train
spec_004031	train
spec_000350	train
spec_002061	train
spec_001722	train
spec_003564	train
spec_000146	train
spec_001458	train
spec_003678	train
spec_003427	train
spec_004691	train
spec_001727	train
spec_004579	train
spec_005285	train
spec_001514	train
spec_002466	train
spec_002682	train
spec_003792	train
spec_005659	train
spec_001756	train
spec_000995	train
spec_002544	train
spec_002038	train
spec_001859	train
spec_001911	train
spec_002273	train
spec_001138	train
spec_004622	train
spec_001487	train
spec_005798	train
spec_000877	train
spec_000022	train
spec_001291	train
spec_003718	train
spec_004385	train
spec_004942	train
spec_000490	train
spec_002130	train
spec_005722	train
spec_005076	train
spec_000424	train
spec_002222	train
spec_004649	train
spec_002381	train
spec_001147	train
spec_000957	train
spec_004884	train
spec_003110	train
spec_004796	train
spec_002904	train
spec_003046	train
spec_005112	train
spec_004996	train
spec_005607	train
spec_004063	train
spec_000629	train
spec_000965	train
spec_001181	train
spec_003540	train
spec_005491	train
spec_005475	train
spec_000415	train
spec_003197	train
spec_001849	train
spec_001043	train
spec_003975	train
spec_005139	train
spec_001858	train
spec_004946	train
spec_002133	train
spec_004066	train
spec_001688	train
spec_001547	train
spec_002205	train
spec_001422	train
spec_003411	train
spec_003075	train
spec_000105	train
spec_000331	train
spec_004856	train
spec_000047	train
spec_001739	train
spec_001255	train
spec_000911	train
spec_004102	train
spec_000530	train
spec_003858	train
spec_004573	train
spec_002062	train
spec_002893	train
spec_005813	train
spec_001884	train
spec_005306	train
spec_003560	train
spec_000224	train
spec_003488	train
spec_000669	train
spec_001563	train
spec_004290	train
spec_001868	train
spec_004484	train
spec_002678	train
spec_002895	train
spec_005197	train
spec_005035	train
spec_002159	train
spec_005871	train
spec_005876	train
spec_002264	train
spec_000782	train
spec_003368	train
spec_002804	train
spec_005416	train
spec_000522	train
spec_005647	train
spec_002726	train
spec_003912	train
spec_005178	train
spec_005761	train
spec_000228	train
spec_005355	train
spec_003217	train
spec_003483	train
spec_002287	train
spec_005012	train
spec_003721	train
spec_000266	train
spec_000666	train
spec_003687	train
spec_002069	train
spec_001027	train
spec_005162	train
spec_000592	train
spec_003639	train
spec_003580	train
spec_003505	train
spec_003747	train
spec_001226	train
spec_001361	train
spec_000078	train
spec_003549	train
spec_003954	train
spec_004060	train
spec_001535	train
spec_000143	train
spec_001103	train
spec_005099	train
spec_002563	train
spec_001326	train
spec_003222	train
spec_001123	train
spec_003710	train
spec_004889	train
spec_005544	train
spec_002854	train
spec_001109	train
spec_005015	train
spec_002154	train
spec_004687	train
spec_004633	train
spec_003776	train
spec_003526	train
spec_001509	train
spec_003088	train
spec_003655	train
spec_001088	train
spec_002547	train
spec_005634	train
spec_003548	train
spec_005523	train
spec_004873	train
spec_003041	train
spec_000723	train
spec_002605	train
spec_000156	train
spec_005402	train
spec_001385	train
spec_000675	train
spec_000729	train
spec_001105	train
spec_005330	train
spec_002129	train
spec_001433	train
spec_005041	train
spec_001736	train
spec_005272	train
spec_002031	train
spec_004797	train
spec_003042	train
spec_004806	train
spec_000715	train
spec_003243	train
spec_002527	train
spec_002095	train
spec_004912	train
spec_005527	train
spec_000202	train
spec_004879	train
spec_002643	train
spec_001856	train
spec_003974	train
spec_004255	train
spec_001652	train
spec_001726	train
spec_001048	train
spec_002267	train
spec_002082	train
spec_002624	train
spec_002694	train
spec_001430	train
spec_001548	train
spec_004122	train
spec_001415	train
spec_003369	train
spec_002396	train
spec_003302	train
spec_001898	train
spec_005495	train
spec_002073	train
spec_005191	train
spec_004558	train
spec_003131	train
spec_001662	train
spec_001645	train
spec_002513	train
spec_000312	train
spec_003316	train
spec_001067	train
spec_000831	train
spec_002718	train
spec_001337	train
spec_003552	train
spec_003877	train
spec_000042	train
spec_002524	train
spec_003506	train
spec_002833	train
spec_001485	train
spec_000011	train
spec_001764	train
spec_003998	train
spec_000746	train
spec_003050	train
spec_005183	train
spec_000147	train
spec_005273	train
spec_004272	train
spec_000558	train
spec_002912	train
spec_000824	train
spec_000139	train
spec_004034	train
spec_004137	train
spec_002331	train
spec_003272	train
spec_000031	train
spec_004113	train
spec_000404	train
spec_004732	train
spec_002012	train
spec_005380	train
spec_000088	train
spec_000621	train
spec_002688	train
spec_003972	train
spec_000296	train
spec_005505	train
spec_004186	train
spec_004401	train
spec_005075	train
spec_001891	train
spec_002298	train
spec_002497	train
spec_005833	train
spec_001944	train
spec_002935	train
spec_004575	train
spec_002013	train
spec_005270	train
spec_000006	train
spec_003378	train
spec_002595	train
spec_001971	train
spec_001249	train
spec_005378	train
spec_004129	train
spec_005628	train
spec_004614	train
spec_003355	train
spec_004397	train
spec_000397	train
spec_003898	train
spec_002621	train
spec_001116	train
spec_003826	train
spec_002144	train
spec_004847	train
spec_005343	train
spec_003359	train
spec_003810	train
spec_000075	train
spec_002665	train
spec_004725	train
spec_002332	train
spec_001406	train
spec_000470	train
spec_000024	train
spec_004815	train
spec_004865	train
spec_004859	train
spec_001738	train
spec_002495	train
spec_004300	train
spec_005814	train
spec_001767	train
spec_003182	train
spec_004576	train
spec_005336	train
spec_004900	train
spec_003812	train
spec_003827	train
spec_000901	train
spec_004581	train
spec_003177	train
spec_000686	train
spec_002242	train
spec_003616	train
spec_002462	train
spec_005792	train
spec_004530	train
spec_005868	train
spec_004824	train
spec_000171	train
spec_003323	train
spec_000084	train
spec_000860	train
spec_002729	train
spec_000197	train
spec_001683	train
spec_004193	train
spec_003026	train
spec_005301	train
spec_000882	train
spec_005129	train
spec_001637	train
spec_005093	train
spec_000383	train
spec_005811	train
spec_001654	train
spec_003945	train
spec_005824	train
spec_000289	train
spec_000741	train
spec_004843	train
spec_001075	train
spec_000395	train
spec_002740	train
spec_001007	train
spec_001191	train
spec_005726	train
spec_005788	train
spec_001086	train
spec_005384	train
spec_002143	train
spec_005312	train
spec_001889	train
spec_003797	train
spec_004071	train
spec_003924	train
spec_002826	train
spec_000117	train
spec_004776	train
spec_000664	train
spec_004261	train
spec_000843	train
spec_004673	train
spec_001632	train
spec_004572	train
spec_000633	train
spec_004757	train
spec_002363	train
spec_004904	train
spec_001389	train
spec_000899	train
spec_000339	train
spec_005729	train
spec_001040	train
spec_004341	train
spec_005823	train
spec_001187	train
spec_005681	train
spec_004962	train
spec_005478	train
spec_001370	train
spec_002337	train
spec_005575	train
spec_000805	train
spec_000069	train
spec_001638	train
spec_003047	train
spec_003084	train
spec_005580	train
spec_002923	train
spec_000724	train
